timestamp,Bx,By,Bz,B norm
1756223972.1811135,199727.0,-65784.75,295825.375,362947.8755351147
1756223972.2191136,199722.0,-65785.75,295822.046875,362942.5927118188
1756223972.2561135,199729.5,-65772.125,295822.921875,362944.963739584
1756223972.2941136,199739.0,-65781.125,295825.703125,362954.08959903766
1756223972.3311136,199726.25,-65784.875,295822.078125,362944.7983151456
1756223972.3691137,199725.0,-65776.75,295827.0625,362946.70045743824
1756223972.4061136,199734.75,-65779.0,295826.765625,362952.2316486168
1756223972.4441135,199732.25,-65775.125,295825.890625,362949.4404499098
1756223972.4811137,199725.5,-65785.75,295821.796875,362944.31495708297
1756223972.5191135,199719.25,-65775.25,295820.171875,362937.64811779937
1756223972.5571136,199723.0,-65780.0,295830.265625,362948.7996794562
1756223972.5941136,199729.0,-65775.625,295836.328125,362956.2498754131
1756223972.6311135,199725.25,-65770.25,295835.015625,362952.1424960445
1756223972.6691136,199719.75,-65780.25,295826.328125,362943.8472299058
1756223972.7061136,199729.75,-65777.25,295823.21875,362946.27206273295
1756223972.7441137,199734.75,-65790.0,295826.140625,362953.7159675387
1756223972.7811136,199718.75,-65780.5,295832.265625,362948.1817927086
1756223972.8191135,199720.0,-65783.125,295825.703125,362943.9964569827
1756223972.8571136,199728.75,-65788.625,295819.875,362945.0581024196
1756223972.8941135,199722.5,-65794.25,295831.859375,362952.40646754537
1756223972.9311135,199726.75,-65784.5,295827.4375,362949.37371984666
1756223972.9691136,199725.75,-65774.625,295823.65625,362943.9517392063
1756223973.0061135,199729.25,-65785.625,295825.40625,362949.2977609692
1756223973.0441136,199731.5,-65776.25,295826.875,362950.0339283331
1756223973.0821135,199717.0,-65786.125,295833.140625,362948.9515394233
1756224012.0644164,199615.5,-65621.5,295844.203125,362872.3213820066
1756224012.1014163,199169.25,-66298.375,295950.765625,362837.0437913235
1756224012.1394165,199197.25,-66279.75,295924.671875,362827.7292213916
1756224012.1764164,199206.25,-66266.0,295913.65625,362821.1746167879
1756224012.2144165,199198.5,-66262.75,295913.375,362816.0965884826
1756224012.2514164,199199.0,-66262.625,295916.625,362818.9989847296
1756224012.2894163,199214.0,-66253.5,295911.359375,362821.2737222149
1756224012.3264165,199202.0,-66275.375,295912.640625,362819.725231486
1756224012.3644164,199193.75,-66269.875,295916.0,362816.9310100869
1756224012.4014163,199190.0,-66274.875,295906.75,362808.2411575406
1756224012.4384165,199212.25,-66258.5,295914.96875,362824.1696781321
1756224012.4754164,199219.0,-66256.25,295911.984375,362825.0310022901
1756224012.5124164,199202.25,-66270.375,295908.9375,362815.9289503178
1756224012.5504165,199200.0,-66253.5,295911.4375,362813.6506604546
1756224012.5874164,199210.25,-66268.375,295907.90625,362819.1150028646
1756224012.6244164,199205.25,-66282.375,295914.203125,362824.0627002389
1756224012.6624165,199198.75,-66275.5,295918.09375,362822.41125714144
1756224012.6994164,199196.0,-66279.875,295919.15625,362822.5672167148
1756224012.7364163,199207.75,-66264.25,295920.765625,362827.4769311321
1756224012.7744164,199221.75,-66249.0,295918.578125,362830.5948422545
1756224012.8124163,199220.0,-66244.375,295916.625,362827.1965695671
1756224012.8494165,199206.25,-66251.25,295896.890625,362804.80708938825
1756224012.8864164,199208.5,-66270.75,295914.0625,362823.6088832512
1756224012.9234164,199205.0,-66275.25,295914.28125,362822.68759721547
1756224012.9614165,199217.75,-66240.75,295902.8125,362814.03407398006
1756224012.9984164,199212.25,-66240.5,295899.421875,362808.2031270403
1756224013.0354164,199201.5,-66267.625,295917.3125,362821.8454870287
1756224013.0734165,199218.25,-66261.375,295912.875,362826.28149118245
1756224013.1104164,199214.25,-66268.125,295912.09375,362824.6808330256
1756224013.1474164,199204.75,-66262.0,295913.75,362819.6969647941
1756224013.1844163,199216.25,-66241.0,295900.953125,362811.7396189737
