timestamp,Bx,By,Bz,B norm
1756223935.6331136,199725.0,-65814.25,295821.359375,362948.850102236
1756223935.6701136,199733.0,-65802.125,295811.59375,362943.0946311428
1756223935.7081137,199729.0,-65809.25,295821.703125,362950.4248052868
1756223935.7461135,199724.5,-65821.625,295827.453125,362954.879069444
1756223935.7831137,199721.25,-65820.0,295820.171875,362946.86138568143
1756223935.8211136,199726.75,-65801.0,295815.78125,362942.864240517
1756223935.8581135,199732.75,-65806.125,295830.640625,362959.2063065436
1756223935.8961136,199728.75,-65801.5,295815.515625,362943.83899344143
1756223935.9331136,199718.0,-65810.375,295819.703125,362942.9455694156
1756223935.9711137,199726.75,-65800.625,295819.75,362946.0309825906
1756223936.0081136,199738.0,-65809.125,295826.28125,362959.0862004556
1756223936.0461135,199720.5,-65816.875,295821.15625,362946.6842941296
1756223936.0831137,199721.25,-65806.125,295827.375,362950.2164050447
1756223936.1211135,199724.25,-65799.375,295816.328125,362941.6396251756
1756223936.1581137,199729.25,-65806.0,295826.21875,362953.65357230575
1756223936.1951137,199718.75,-65828.375,295821.890625,362948.4054650917
1756223936.2331135,199717.5,-65820.0,295824.28125,362948.1472377688
1756223936.2701137,199722.5,-65808.25,295824.203125,362948.7042666688
1756223936.3081136,199729.75,-65810.75,295825.515625,362954.2168723517
1756223936.3451135,199736.5,-65806.0,295816.578125,362949.7857305253
1756223936.3831136,199717.75,-65811.375,295828.109375,362949.840943401
1756223936.4201136,199720.25,-65805.125,295815.453125,362939.767790576
1756223936.4581137,199734.75,-65801.5,295821.046875,362951.6490306022
1756223936.4951136,199730.0,-65812.875,295829.765625,362958.20371705067
1756223936.5331137,199718.75,-65812.375,295831.03125,362952.9540520942
1756223936.5701137,199722.5,-65802.0,295816.140625,362940.9997017694
1756223936.6081135,199735.75,-65788.0,295816.296875,362945.8806336017
1756223936.6451137,199733.0,-65810.375,295822.6875,362953.6322815399
1756223936.6831136,199720.25,-65822.375,295828.015625,362953.1349077018
1756223936.7201135,199722.25,-65804.0,295818.53125,362943.1732268424
1756223936.7581136,199731.25,-65807.125,295821.984375,362951.5069081418
1756223936.7951136,199728.25,-65804.75,295822.484375,362949.8329417196
1756223936.8331137,199728.5,-65814.5,295820.296875,362949.9554562765
1756223936.8701136,199720.75,-65815.25,295819.328125,362945.03716878593
1756223936.9081137,199729.5,-65812.875,295824.59375,362953.71323815954
1756223936.9451137,199739.0,-65792.375,295818.96875,362950.6398967415
1756223936.9821136,199721.75,-65811.625,295826.640625,362950.8902202556
1756223937.0201137,199719.0,-65809.5,295823.875,362946.7375129106
1756223937.0571136,199735.0,-65803.625,295817.125,362948.9753827751
1756223937.0951135,199730.25,-65813.25,295821.015625,362951.2776200567
1756223937.1321137,199718.75,-65816.25,295819.921875,362944.6018936721
1756223937.1691136,199710.0,-65809.125,295826.5625,362943.9076687085
1756223937.2071135,199732.0,-65812.875,295822.265625,362953.1914438468
1756223937.2441137,199733.25,-65808.125,295821.75,362952.5977929358
1756223937.2811136,199732.0,-65801.25,295822.03125,362950.8926816939
1756223937.3191135,199720.5,-65806.75,295820.90625,362944.6445952658
1756223937.3561137,199727.25,-65808.375,295817.796875,362946.11936302873
1756223937.3941135,199726.25,-65809.5,295821.578125,362948.85495573335
1756223937.4311135,199712.25,-65812.375,295825.796875,362945.1110015561
1756223937.4681137,199719.0,-65799.5,295812.46875,362935.627665871
1756223937.5061135,199723.25,-65808.5,295815.921875,362942.4126463709
1756223937.5431137,199724.0,-65809.0,295821.046875,362947.09315714455
1756223937.5811136,199734.25,-65803.625,295824.984375,362954.9683730368
1756223937.6181135,199727.25,-65810.375,295823.984375,362951.5251127943
1756223937.6551137,199727.0,-65808.0,295823.203125,362950.320154336
1756223937.6931136,199730.25,-65800.25,295817.96875,362946.4372335138
1756223937.7301135,199734.25,-65799.875,295824.5,362953.8937293938
1756223937.7671137,199714.25,-65815.625,295819.28125,362941.4901970698
1756223937.8051136,199731.5,-65799.375,295819.953125,362948.5838373224
1756223937.8431137,199719.5,-65825.375,295827.84375,362953.12619113096
1756223937.8801136,199720.0,-65812.0,295826.359375,362949.76600773097
1756223937.9171135,199717.0,-65809.0,295833.546875,362953.4295562488
1756223937.9541135,199716.25,-65821.25,295826.53125,362949.51998457336
1756223937.9921136,199727.0,-65800.25,295834.734375,362958.31371080247
1756223938.0301137,199716.5,-65815.875,295830.5,362951.9176206617
1756223938.0671136,199718.75,-65808.875,295822.0,362944.958381196
1756223938.1041136,199735.0,-65790.75,295820.578125,362949.4557824432
1756223938.1421137,199733.75,-65804.625,295826.640625,362956.2244457671
1756223938.1791136,199724.0,-65809.875,295829.8125,362954.3962914636
1756223938.2171135,199720.25,-65801.5,295821.640625,362944.15372668445
1756223938.2541137,199723.5,-65808.125,295816.453125,362942.9152190754
1756223938.2921135,199730.5,-65807.0,295829.140625,362956.90422166657
1756223938.3291135,199719.0,-65811.125,295821.71875,362945.2746888568
1756223938.3671136,199712.0,-65817.0,295819.71875,362940.8580393355
1756223938.4041135,199727.25,-65802.25,295821.9375,362948.383663406
1756223938.4421136,199735.25,-65799.5,295829.59375,362958.5277013099
1756223938.4791136,199718.0,-65825.875,295814.609375,362941.6047564669
1756223938.5161135,199714.25,-65806.5,295820.640625,362940.9435639604
1756223938.5541136,199725.75,-65790.0,295815.4375,362940.039643436
1756223938.5911136,199718.5,-65823.625,295828.0625,362952.4368466129
1756223938.6291137,199733.0,-65802.125,295828.34375,362956.7466095427
1756223938.6671135,199719.0,-65803.5,295819.75,362942.2875104422
1756223938.7041135,199724.75,-65808.0,295826.6875,362951.9219728491
1756223938.7411137,199723.5,-65812.5,295812.265625,362940.2955069822
1756223938.7791135,199718.25,-65813.625,295827.609375,362950.11652736895
1756223938.8171136,199711.75,-65815.875,295829.84375,362948.7690339059
1756223938.8541136,199724.25,-65803.875,295820.546875,362945.8939793949
1756223938.8921137,199725.0,-65815.25,295822.0,362949.5535767505
1756223938.9291136,199733.0,-65800.375,295823.5,362952.481450934
1756223938.9671135,199716.0,-65811.0,295815.890625,362938.8509422241
1756223939.0041137,199732.25,-65796.375,295812.328125,362942.2379992935
1756223939.0411136,199734.0,-65797.0,295826.3125,362954.7122332863
1756223939.0791135,199729.75,-65806.75,295813.953125,362944.0676523928
1756223939.1161137,199708.0,-65812.5,295815.765625,362934.6189226855
1756223939.1531136,199721.25,-65803.875,295818.015625,362942.1800161713
1756223939.1911137,199730.0,-65797.875,295821.59375,362948.8236422673
1756223939.2281137,199737.0,-65798.875,295828.484375,362958.4732278271
1756223939.2661135,199726.75,-65805.875,295825.0,362951.2618452761
1756223939.3031137,199720.0,-65796.0,295816.578125,362938.8928037118
1756223939.3411136,199731.5,-65814.875,295822.15625,362953.1898081557
1756223939.3791137,199737.25,-65799.875,295819.796875,362951.7114035204
1756223939.4161136,199722.75,-65804.375,295819.5,362944.3059436986
1756223939.4531136,199719.0,-65815.375,295818.703125,362943.5874429352
1756223939.4911137,199733.5,-65800.625,295823.90625,362953.1330373791
1756223939.5281136,199733.75,-65809.125,295819.109375,362950.90204288834
1756223939.5661137,199720.75,-65805.5,295821.0625,362944.6828780405
1756223939.6031137,199723.25,-65809.0,295820.859375,362946.52762208105
1756223939.6411135,199727.0,-65807.875,295819.71875,362947.45755046245
1756223939.6781137,199731.0,-65796.5,295823.421875,362950.6146889467
1756223939.7161136,199711.0,-65814.0,295818.609375,362938.8595473883
1756223939.7531135,199728.25,-65803.5,295820.984375,362948.3837364571
1756223939.7911136,199732.25,-65808.875,295823.21875,362953.38057447335
1756223939.8281136,199725.0,-65806.5,295824.40625,362949.9282275932
1756223939.8661137,199716.75,-65809.5,295819.734375,362942.1245412388
1756223939.9031136,199716.75,-65809.75,295824.359375,362945.9395354274
1756223939.9401135,199735.25,-65794.5,295816.3125,362946.7964645923
1756223939.9781137,199724.75,-65807.625,295821.390625,362947.53673501074
1756223940.0161135,199713.0,-65818.125,295824.640625,362945.6239554708
1756223940.0531137,199722.0,-65808.125,295820.984375,362945.7829987967
1756223940.0911136,199738.25,-65807.375,295818.421875,362952.5008015079
1756223940.1281135,199725.75,-65813.125,295818.1875,362946.4735895822
1756223940.1661136,199717.0,-65807.25,295826.578125,362947.4322360047
1756223940.2031136,199714.0,-65815.5,295822.28125,362943.7751500969
1756223940.2411137,199723.75,-65806.5,295827.640625,362951.8765815472
1756223940.2781136,199728.75,-65807.125,295820.0625,362948.5647510292
1756223940.3161137,199719.5,-65805.375,295825.140625,362947.2962909927
1756223940.3531137,199712.75,-65808.125,295820.875,362940.6038380712
1756223940.3911135,199727.25,-65801.625,295819.859375,362946.57657270704
1756223940.4281137,199728.25,-65814.0,295822.984375,362951.917653832
1756223940.4661136,199720.0,-65809.25,295817.515625,362942.0591996877
1756223940.5031135,199725.0,-65800.625,295826.328125,362950.4295180139
1756223940.5401137,199719.25,-65824.5,295835.203125,362958.8282833502
1756223940.5771136,199735.5,-65796.125,295821.34375,362951.3293036978
1756223940.6151135,199723.25,-65803.25,295828.5625,362951.763588416
1756223940.6531136,199716.5,-65805.875,295818.78125,362940.5528416479
1756223940.6901135,199723.5,-65806.5,295822.265625,362947.3580755315
