timestamp,Bx,By,Bz,B norm
1756256978.126464,201117.5,-68027.625,295006.203125,363462.0564125221
1756256978.1644642,201118.0,-68016.125,295005.71875,363459.7877059025
1756256978.2014642,201087.0,-68029.25,295005.984375,363445.3070843332
1756256978.239464,201100.0,-68031.625,295005.234375,363452.3356766184
1756256978.2774642,201111.0,-68032.125,295012.015625,363464.0198370959
1756256978.314464,201112.75,-68019.625,295004.234375,363456.332861161
1756256978.3524642,201079.75,-68030.75,295004.734375,363440.5620033203
1756256978.389464,201105.5,-68013.125,295006.984375,363453.336939623
1756256978.4274642,201111.25,-68024.125,295000.4375,363453.2632729682
1756256978.465464,201110.5,-68018.375,294996.53125,363448.6015895822
1756256978.502464,201083.25,-68029.375,295002.15625,363440.1484228216
1756256978.5404642,201098.0,-68030.5,295005.84375,363451.5131085568
1756256978.577464,201113.0,-68020.875,295010.0,363461.3848880864
1756256978.6154642,201107.25,-68015.75,294990.359375,363441.302516399
1756256978.653464,201088.75,-68031.375,295003.078125,363444.3141172771
1756256978.6904645,201111.5,-68018.125,295004.234375,363455.3604776597
1756256978.728464,201120.25,-68017.75,295004.296875,363460.1827571187
1756256978.765464,201099.25,-68034.375,295002.1875,363449.9623909573
1756256978.8034642,201092.5,-68023.5,295003.609375,363445.3461702015
1756256978.841464,201114.0,-68023.0,295009.921875,363462.2724983896
1756256978.8784642,201108.5,-68024.75,294998.921875,363450.6284108267
1756256978.916464,201098.75,-68033.0,295000.59375,363448.1347502213
1756256978.9534645,201104.75,-68019.125,295000.28125,363448.6040362616
1756256978.991464,201107.75,-68024.375,295008.515625,363457.93015900615
1756256979.0294642,201114.5,-68019.875,294996.984375,363451.4634660447
1756256979.0664642,201102.25,-68023.375,294998.640625,363446.68449726026
1756256979.104464,201093.0,-68025.25,295006.078125,363447.95420700347
1756256979.1414642,201109.75,-68016.5,295000.40625,363450.9808832238
1756256979.179464,201118.5,-68027.0,295007.40625,363463.46929726313
1756256979.2174642,201103.5,-68020.375,295000.390625,363448.23509860825
1756256979.254464,201086.5,-68030.75,295000.546875,363440.89764962
1756256979.2924645,201116.25,-68020.5,295005.921875,363459.8029708803
1756256979.330464,201107.25,-68029.25,295002.359375,363453.56910469546
1756256979.367464,201098.25,-68019.625,294994.015625,363440.0153983679
1756256979.4054642,201098.0,-68011.75,295002.375,363445.18843658274
1756256979.442464,201106.5,-68034.875,295002.65625,363454.4479753567
1756256979.4804642,201124.5,-68023.125,294994.140625,363455.2971660998
1756256979.518464,201097.75,-68025.125,294995.03125,363441.5924856656
1756256979.5554645,201100.0,-68027.375,295003.09375,363449.8026845824
1756256979.593464,201113.0,-68022.75,295004.390625,363457.1828628375
1756256979.630464,201109.5,-68017.375,294999.03125,363449.8902607884
1756256979.6684642,201098.0,-68022.625,294999.625,363444.9915269589
1756256979.706464,201095.0,-68030.25,295005.109375,363449.2103408924
1756256979.7434642,201110.0,-68031.5,295008.1875,363460.2423708612
1756256979.781464,201111.25,-68031.25,295000.15625,363454.3685810496
1756256979.818464,201097.75,-68024.125,294995.375,363441.6843297818
1756256979.856464,201099.25,-68031.125,295008.03125,363454.0972685947
1756256979.8944645,201106.25,-68028.0,295003.3125,363453.55543595273
1756256979.9314642,201113.25,-68026.375,295000.671875,363454.981294664
1756256979.969464,201094.5,-68022.5,295001.890625,363444.87052209786
1756256980.0064642,201099.75,-68020.375,294996.171875,363442.7359104976
1756256980.044464,201118.0,-68021.25,295003.640625,363459.0600845805
1756256980.0824642,201106.0,-68028.875,294993.625,363445.7179007703
1756256980.1194642,201094.0,-68029.25,295001.5625,363445.590933504
1756256980.1574645,201105.0,-68021.5,294997.3125,363446.7772170674
1756256980.1944642,201119.0,-68029.125,295003.5,363460.97317527176
1756256980.232464,201109.25,-68021.75,294998.796875,363450.3804734871
1756256980.2704642,201086.5,-68026.125,294997.84375,363437.8378511448
1756256980.307464,201106.25,-68023.75,295003.03125,363452.5317009272
1756256980.3454642,201112.75,-68024.75,294999.203125,363453.2083632087
1756256980.383464,201111.25,-68031.625,295004.34375,363457.8375934013
1756256980.4204645,201095.0,-68023.875,295000.953125,363444.64356993086
1756256980.458464,201100.5,-68034.0,295012.125,363458.64985341264
1756256980.495464,201115.0,-68025.25,295003.15625,363457.7555370424
1756256980.5334642,201105.0,-68025.375,295000.96875,363450.47012258647
1756256980.571464,201086.25,-68028.375,294997.125,363437.5372776851
1756256980.6084642,201107.5,-68026.875,295004.828125,363455.2667049639
1756256980.646464,201118.25,-68025.25,295006.0625,363461.9127671824
1756256980.683464,201097.25,-68026.375,294999.625,363445.2784166329
1756256980.7214642,201087.75,-68020.75,294998.6875,363438.2083069248
1756256980.7594645,201106.0,-68018.875,295007.3125,363454.9559721786
1756256980.7964642,201111.75,-68035.5,295010.53125,363463.8617479319
1756256980.834464,201106.5,-68026.5,295000.515625,363451.1428837663
