timestamp,Bx,By,Bz,B norm
1756719261.7660477,195351.25,-76876.375,294224.1875,361441.5034548997
1756719261.8030474,195344.25,-76893.5,294224.5,361441.61734720384
1756719261.8410473,195344.75,-76881.25,294218.40625,361434.3211849354
1756719261.8790474,195345.5,-76877.875,294219.625,361435.0007538095
1756719261.916047,195352.25,-76889.625,294226.734375,361446.9355710184
1756719261.9540474,195345.25,-76890.75,294220.125,361438.0114046399
1756719261.9910474,195343.0,-76880.125,294225.84375,361439.1904586649
1756719262.0290475,195346.0,-76881.875,294224.796875,361440.3318884745
1756719262.0670474,195344.25,-76888.0,294223.3125,361439.4806472242
1756719262.1040473,195344.5,-76882.375,294217.59375,361433.7639705658
1756719262.1420474,195346.25,-76872.75,294222.625,361436.7581521221
1756719262.179047,195344.5,-76895.625,294224.234375,361441.9883161689
1756719262.2170477,195354.75,-76880.375,294224.265625,361444.3095281397
1756719262.255047,195346.0,-76867.375,294224.375,361436.9044515671
1756719262.2920475,195340.25,-76886.0,294222.15625,361435.9521332402
1756719262.3300474,195352.75,-76880.75,294215.234375,361435.9566942132
1756719262.3670473,195342.75,-76895.375,294229.84375,361445.5555503519
1756719262.4050474,195351.0,-76879.5,294220.84375,361439.3111135145
1756719262.4430473,195338.5,-76893.75,294223.515625,361437.7616105533
1756719262.4800477,195347.75,-76887.375,294218.40625,361437.2455084605
1756719262.518047,195345.75,-76884.25,294224.203125,361440.2186332704
1756719262.5550473,195338.75,-76887.875,294221.078125,361434.662680014
1756719262.5930474,195347.5,-76879.75,294215.6875,361433.2752907653
1756719262.6310475,195343.75,-76891.5,294219.90625,361437.1821908633
1756719262.6680474,195359.0,-76875.625,294221.234375,361443.12880076905
1756719262.7060473,195339.25,-76889.0,294223.375,361437.0419699026
1756719262.7430477,195343.75,-76890.625,294227.484375,361443.1648801703
1756719262.781047,195348.25,-76888.125,294221.375,361440.0919252992
1756719262.8190477,195354.0,-76892.25,294216.15625,361439.8290512363
1756719262.8560474,195340.0,-76887.875,294226.84375,361440.03168589744
1756719262.8940475,195349.25,-76874.75,294224.21875,361440.1023159617
1756719262.9320474,195359.5,-76877.75,294217.703125,361440.9765334627
1756719262.9690473,195343.0,-76887.125,294227.671875,361442.1676240174
1756719263.0070474,195338.5,-76888.375,294223.90625,361436.9361332616
1756719263.0440474,195341.5,-76885.5,294223.765625,361437.8314330902
1756719263.0820477,195348.5,-76885.5,294228.71875,361445.6466742498
1756719263.120047,195346.5,-76879.25,294221.71875,361437.5380712643
1756719263.1570473,195338.75,-76883.0,294226.03125,361437.65770280286
1756719263.1950474,195342.75,-76890.75,294225.46875,361441.01022750896
1756719263.232047,195345.25,-76889.0,294217.296875,361435.33695392095
1756719263.2700474,195345.5,-76888.75,294226.59375,361442.98681332864
1756719263.3080473,195343.5,-76886.875,294222.5,361438.1745828263
1756719263.3450477,195343.75,-76883.0,294225.265625,361439.7367268357
1756719263.383047,195358.0,-76874.5,294223.5,361444.19329476025
1756719263.4200473,195338.75,-76889.5,294223.859375,361437.2724102099
1756719263.4580474,195333.75,-76889.0,294225.328125,361435.6594476068
1756719263.4960475,195343.0,-76889.5,294226.796875,361441.9605670771
1756719263.5330474,195360.0,-76871.875,294216.859375,361439.3104056394
1756719263.5710473,195340.25,-76892.5,294230.953125,361444.4958816754
1756719263.6080475,195339.0,-76882.25,294219.859375,361432.60912195966
1756719263.6460474,195360.75,-76874.25,294225.15625,361446.9747057816
1756719263.6840477,195346.75,-76890.625,294217.046875,361436.2898496761
