timestamp,Bx,By,Bz,B norm
1756722141.5395658,197555.5,-74710.125,294415.234375,362339.7695393811
1756722141.577566,197558.0,-74726.5,294408.859375,362339.32942028047
1756722141.6145658,197552.25,-74725.375,294408.90625,362336.000458517
1756722141.652566,197538.75,-74726.375,294410.375,362330.03985295474
1756722141.689566,197557.75,-74724.125,294409.984375,362339.6174057784
1756722141.7275658,197555.25,-74737.125,294408.890625,362340.0468273847
1756722141.765566,197555.5,-74722.125,294411.078125,362338.866901538
1756722141.8025658,197549.25,-74716.875,294410.046875,362333.5387267756
1756722141.840566,197550.75,-74724.375,294406.453125,362332.9831609951
1756722141.877566,197550.75,-74737.625,294409.359375,362338.07735842647
1756722141.915566,197549.75,-74733.625,294409.875,362337.12606938137
1756722141.9535658,197550.25,-74719.375,294412.84375,362336.8720409435
1756722141.9905658,197557.75,-74722.0,294413.375,362341.93415605807
1756722142.028566,197555.75,-74725.5,294413.890625,362341.9844584146
1756722142.0655658,197547.75,-74729.0,294407.6875,362333.3043347798
1756722142.103566,197552.75,-74727.5,294408.265625,362336.1907912775
1756722142.1415658,197552.5,-74729.75,294412.375,362339.8575156384
1756722142.178566,197550.5,-74727.25,294409.015625,362335.5218910975
1756722142.2165658,197545.0,-74722.0,294407.78125,362330.43754223554
1756722142.254566,197542.5,-74728.375,294412.140625,362333.9314552053
1756722142.291566,197552.25,-74724.375,294413.28125,362339.349057751
1756722142.3295658,197552.0,-74724.5,294415.90625,362341.3714403294
1756722142.366566,197545.25,-74729.625,294407.65625,362332.0448274225
1756722142.4045658,197544.75,-74739.5,294413.78125,362338.785810649
1756722142.442566,197547.25,-74738.375,294416.796875,362342.3670540586
1756722142.479566,197550.75,-74725.375,294410.328125,362336.3379529071
1756722142.517566,197553.5,-74721.625,294410.4375,362337.1528201766
1756722142.554566,197551.75,-74716.875,294411.0625,362335.72699943214
1756722142.5925658,197558.25,-74720.5,294414.34375,362342.6845805717
1756722142.630566,197553.75,-74718.375,294408.875,362335.349338798
1756722142.6675658,197544.25,-74724.25,294408.640625,362331.1909300459
1756722142.705566,197549.5,-74726.875,294415.109375,362339.8507283029
1756722142.742566,197557.5,-74717.75,294412.53125,362340.2358672643
1756722142.780566,197550.25,-74727.75,294414.03125,362339.5640721573
1756722142.8185658,197550.75,-74721.375,294407.125,362332.9103990124
1756722142.8555658,197553.5,-74722.0,294410.671875,362337.4205904476
1756722142.893566,197562.75,-74716.25,294406.703125,362338.0535446931
1756722142.9305658,197552.75,-74722.875,294412.53125,362338.70292567473
1756722142.968566,197548.25,-74725.75,294409.71875,362334.5571230808
1756722143.0065658,197552.5,-74721.375,294414.5,362339.8569691039
1756722143.0435658,197562.25,-74726.875,294410.71875,362343.2347750124
1756722143.081566,197557.25,-74723.25,294408.40625,362337.8820780268
1756722143.1185658,197550.25,-74728.875,294411.65625,362337.8663205052
1756722143.156566,197556.25,-74713.5,294406.4375,362333.726608156
1756722143.1945658,197559.75,-74722.375,294415.1875,362344.5746473421
1756722143.231566,197548.5,-74731.125,294413.625,362338.9759350438
1756722143.2695658,197541.75,-74723.375,294412.53125,362332.808784252
1756722143.307566,197560.25,-74717.5,294417.703125,362345.8859980518
1756722143.344566,197554.25,-74727.75,294408.75,362337.4537495227
1756722143.382566,197548.0,-74725.125,294417.53125,362340.63989236753
1756722143.419566,197546.25,-74727.625,294419.0625,362341.4455876971
1756722143.4575658,197563.25,-74710.375,294415.859375,362344.5544433128
1756722143.495566,197557.75,-74718.75,294405.890625,362335.18269873335
1756722143.5325658,197551.0,-74719.75,294412.359375,362336.9647080141
1756722143.570566,197553.75,-74712.875,294415.953125,362339.9664463338
1756722143.607566,197556.0,-74730.25,294409.71875,362339.71062459686
1756722143.6455655,197550.5,-74731.0,294413.328125,362339.7993443295
1756722143.683566,197560.0,-74713.5,294408.796875,362337.6882959252
1756722143.7205658,197556.0,-74715.75,294408.234375,362335.5142707756
1756722143.758566,197559.25,-74719.125,294415.0,362343.47948642337
1756722143.7965658,197563.75,-74713.25,294421.40625,362349.9268633189
1756722143.833566,197546.5,-74724.5,294412.453125,362335.5670060287
