timestamp,Bx,By,Bz,B norm
1757344225.043191,201891.5,-69480.875,294231.9375,363538.4474962993
1757344225.080191,201889.75,-69483.375,294238.53125,363543.29017135
1757344225.1181908,201886.0,-69477.0,294229.1875,363532.42675435456
1757344225.1561909,201875.75,-69487.375,294225.53125,363525.7583195417
1757344225.1931908,201890.0,-69474.875,294224.90625,363530.77698330703
1757344225.231191,201886.25,-69490.25,294225.984375,363532.5056519193
1757344225.2681909,201891.25,-69473.25,294226.890625,363532.7666923309
1757344225.306191,201893.5,-69471.5,294225.84375,363532.83453479054
1757344225.3441908,201891.5,-69477.875,294226.265625,363533.2835799202
1757344225.3811908,201897.0,-69479.5,294224.34375,363535.0931950974
1757344225.419191,201886.5,-69482.5,294223.203125,363528.91211791534
1757344225.457191,201893.0,-69466.25,294227.84375,363533.17231834144
1757344225.494191,201884.75,-69495.625,294231.59375,363537.2400970335
1757344225.5321908,201901.0,-69480.125,294233.890625,363545.1608305908
1757344225.569191,201889.25,-69475.0,294228.1875,363533.0400528921
1757344225.6071908,201891.25,-69473.375,294225.375,363531.5639038016
1757344225.645191,201888.25,-69483.75,294233.859375,363538.747597601
1757344225.682191,201895.0,-69483.25,294229.015625,363538.48034454207
1757344225.7201908,201890.0,-69481.0,294228.203125,363534.61592421465
1757344225.757191,201880.25,-69479.125,294220.359375,363522.4945193657
1757344225.7951908,201896.5,-69466.0,294227.8125,363535.04303819896
1757344225.833191,201893.0,-69479.75,294229.96875,363537.4720983911
1757344225.8701909,201890.25,-69476.375,294228.921875,363534.4525570142
1757344225.908191,201897.75,-69467.375,294224.828125,363533.5845965802
1757344225.945191,201889.0,-69479.5,294232.1875,363536.9986704038
1757344225.9831908,201894.75,-69473.75,294233.125,363539.8518235527
1757344226.021191,201884.5,-69490.375,294235.515625,363539.2718991997
1757344226.0581908,201895.0,-69475.375,294227.3125,363535.59685038176
1757344226.096191,201893.75,-69474.625,294228.125,363535.4169114321
1757344226.1331909,201890.75,-69473.5,294225.828125,363531.6768503875
1757344226.171191,201892.75,-69479.125,294225.359375,363533.4832070851
1757344226.2091908,201889.75,-69483.875,294226.234375,363533.43317303096
1757344226.2461908,201896.25,-69486.5,294233.515625,363543.4377943847
1757344226.284191,201892.25,-69482.625,294227.34375,363535.4805203115
1757344226.3211908,201890.75,-69486.125,294224.34375,363532.8884134093
1757344226.359191,201892.25,-69478.0,294227.21875,363534.4954023247
1757344226.3971908,201896.5,-69474.25,294228.34375,363537.04954403295
1757344226.434191,201893.0,-69479.75,294223.390625,363532.1480968827
1757344226.4721909,201891.0,-69475.0,294219.765625,363527.1956682608
1757344226.5091908,201892.75,-69476.75,294227.046875,363534.3950796244
1757344226.547191,201897.25,-69481.5,294231.890625,363541.72231062345
1757344226.5851908,201889.0,-69484.25,294223.59375,363530.951142028
1757344226.622191,201894.75,-69479.25,294221.4375,363531.4436781107
1757344226.6601908,201892.0,-69476.75,294221.125,363529.1856932922
1757344226.698191,201900.75,-69475.25,294226.890625,363538.4249016611
1757344226.7351909,201892.75,-69487.25,294227.28125,363536.59162028186
1757344226.773191,201896.0,-69481.125,294219.328125,363530.789053131
1757344226.810191,201893.25,-69477.875,294220.734375,363529.77876130375
1757344226.8481908,201892.25,-69483.0,294235.171875,363541.8879130344
1757344226.886191,201895.0,-69487.125,294223.953125,363535.1236927016
1757344226.9231908,201878.25,-69495.375,294228.515625,363531.09134755447
1757344226.961191,201885.5,-69480.75,294232.609375,363535.635324013
1757344226.9981909,201892.0,-69482.75,294225.703125,363534.0377336944
1757344227.036191,201889.0,-69487.125,294221.234375,363529.5911186795
1757344227.0741909,201889.25,-69490.25,294226.46875,363534.5637263666
1757344227.1111908,201899.75,-69470.125,294223.171875,363533.8803822333
1757344227.149191,201890.5,-69482.375,294222.375,363530.439408492
1757344227.1861908,201891.5,-69481.75,294224.140625,363532.3043167309
1757344227.224191,201895.5,-69476.125,294219.5,363529.69486070273
1757344227.2621908,201898.25,-69487.25,294228.484375,363540.6198531804
1757344227.2991908,201892.0,-69481.125,294230.25,363537.4071678568
1757344227.3371909,201888.0,-69492.25,294225.15625,363533.1895775122
1757344227.3741908,201889.25,-69488.5,294222.453125,363530.9791760605
1757344227.412191,201891.5,-69480.25,294222.90625,363531.0185864595
1757344227.4501908,201895.0,-69485.375,294228.03125,363538.08980235015
1757344227.487191,201895.25,-69487.25,294221.78125,363533.52864219807
1757344227.5251908,201889.25,-69479.875,294221.484375,363528.5465591478
1757344227.563191,201891.25,-69487.25,294226.40625,363535.0504063055
1757344227.6001909,201883.75,-69485.75,294221.203125,363526.3873991096
1757344227.638191,201885.0,-69480.375,294223.5625,363527.96380104247
1757344227.675191,201891.25,-69478.625,294215.25,363524.3726230961
1757344227.7131908,201893.5,-69478.25,294232.296875,363539.3473747383
1757344227.751191,201887.5,-69488.5,294229.03125,363535.3313211984
1757344227.7881908,201888.75,-69481.25,294226.890625,363532.9072380941
1757344227.826191,201884.75,-69488.125,294225.0625,363530.5203166676
1757344227.863191,201891.75,-69480.25,294227.03125,363534.4959922146
1757344227.9011908,201891.25,-69492.125,294227.234375,363536.6525008714
1757344227.9391909,201883.25,-69483.125,294225.3125,363528.9339324324
1757344227.9761908,201882.5,-69494.25,294226.171875,363531.3395094425
1757344228.014191,201892.0,-69478.125,294226.84375,363534.0769454805
1757344228.0511909,201883.25,-69485.25,294224.5,363528.6824975094
1757344228.089191,201889.5,-69476.875,294228.453125,363533.7522133893
1757344228.1271908,201895.0,-69479.875,294230.46875,363539.0113809801
1757344228.1641908,201890.0,-69489.0,294230.890625,363538.3201520587
1757344228.2021909,201883.5,-69495.0,294227.78125,363533.3407770845
1757344228.2391908,201888.5,-69482.0,294224.9375,363531.33097867767
1757344228.277191,201898.25,-69474.75,294225.0,363535.4107451226
1757344228.3151908,201892.25,-69488.0,294224.0625,363533.8522174605
1757344228.352191,201891.25,-69483.625,294226.125,363534.1299000945
1757344228.3901908,201883.5,-69483.875,294221.96875,363526.5098344158
1757344228.4271908,201884.75,-69489.0,294227.609375,363532.7488990367
1757344228.465191,201887.0,-69485.875,294223.4375,363530.0245754565
1757344228.503191,201886.0,-69480.375,294219.296875,363525.0667557328
1757344228.540191,201882.0,-69484.875,294223.03125,363526.7278972815
1757344228.5781908,201887.5,-69483.875,294227.8125,363533.4608943182
1757344228.616191,201886.5,-69490.125,294224.46875,363531.39392078
1757344228.6531909,201881.25,-69493.75,294224.4375,363529.1460293334
1757344228.691191,201887.0,-69486.75,294222.46875,363529.4077676622
1757344228.728191,201890.5,-69485.5,294214.6875,363524.8148905693
1757344228.7661908,201888.5,-69488.0,294226.734375,363533.9321125702
1757344228.8041909,201880.0,-69486.875,294221.90625,363525.0889755058
1757344228.8411908,201884.0,-69491.0,294225.03125,363530.6280783828
1757344228.879191,201895.5,-69472.625,294218.265625,363528.02694156015
1757344228.9161909,201887.25,-69485.875,294216.109375,363524.23241489707
1757344228.954191,201885.25,-69478.75,294223.4375,363527.6908894857
