timestamp,Bx,By,Bz,B norm
1756582236.1196449,207934.0,-75484.75,279268.765625,356266.10741449107
1756582236.1576447,207988.25,-75428.125,279226.90625,356252.97100940003
1756582236.1956449,207979.5,-75468.375,279255.421875,356278.73735598486
1756582236.2326448,207928.25,-75518.875,279312.421875,356304.2051997227
1756582236.270645,207947.0,-75473.875,279299.6875,356295.6301361459
1756582236.3076448,207993.75,-75439.75,279258.765625,356283.614691335
1756582236.3456447,207987.25,-75487.25,279301.0625,356323.0340418002
1756582236.3836448,207931.5,-75507.375,279343.609375,356328.1134997535
1756582236.4206448,207951.75,-75468.75,279321.96875,356314.7832759693
1756582236.4586449,207997.0,-75440.5,279287.0,356307.80151190906
1756582236.4956448,207983.25,-75504.125,279313.984375,356334.40339099435
1756582236.533645,207928.0,-75534.625,279365.3125,356348.8607896948
1756582236.5716448,207954.5,-75468.625,279334.9375,356326.5282543099
1756582236.6086447,208002.0,-75450.25,279296.8125,356320.4761190727
1756582236.6466448,207979.5,-75500.875,279332.65625,356346.162310886
1756582236.6846447,207929.25,-75520.875,279362.828125,356344.72818371595
1756582236.7216449,207964.25,-75448.625,279327.78125,356322.3732387583
1756582236.7596447,208016.5,-75436.375,279302.359375,356330.3507952028
1756582236.796645,207972.75,-75506.125,279345.28125,356353.23179637326
1756582236.8346448,207938.0,-75516.0,279372.484375,356356.3709629163
1756582236.872645,207977.5,-75435.125,279334.109375,356332.20911158185
1756582236.9096448,208014.75,-75432.625,279316.265625,356339.43561532546
1756582236.9476447,207962.75,-75515.875,279371.015625,356369.63554141665
1756582236.984645,207934.75,-75507.75,279387.34375,356364.37590660725
1756582237.0226448,207976.5,-75440.625,279329.875,356329.47046259907
1756582237.0606449,208005.75,-75447.625,279316.125,356337.2473321008
1756582237.0976448,207954.0,-75519.5,279375.046875,356368.4579373692
1756582237.135645,207930.25,-75508.75,279384.84375,356360.00211701216
1756582237.1726449,207986.75,-75437.25,279330.59375,356335.302023042
1756582237.2106447,208007.0,-75463.875,279342.0625,356361.7492952485
1756582237.2486448,207951.0,-75535.875,279409.3125,356397.0408473368
1756582237.2856448,207944.25,-75497.875,279404.75,356381.4733682724
1756582237.3236449,207989.75,-75445.875,279351.765625,356355.47577858693
1756582237.3606448,207996.5,-75472.625,279359.375,356371.0447511572
1756582237.398645,207949.25,-75523.0,279412.34375,356395.6676847106
1756582237.4366448,207954.25,-75480.0,279408.171875,356386.20484467695
1756582237.4736447,208006.25,-75423.375,279368.25,356373.26589338266
1756582237.5116448,207995.0,-75479.125,279379.921875,356387.65282013733
1756582237.5496447,207934.0,-75529.125,279435.921875,356406.55369030003
