grid_label,place,point_id,sessions,files,windows
Scotiabank road data_P01,Scotiabank road data,1,1,1,10
Scotiabank road data_P02,Scotiabank road data,2,1,1,10
Scotiabank road data_P03,Scotiabank road data,3,1,1,10
Scotiabank road data_P04,Scotiabank road data,4,1,1,10
Scotiabank road data_P05,Scotiabank road data,5,1,1,10
Scotiabank road data_P06,Scotiabank road data,6,1,1,10
Smythe park data_P01,Smythe park data,1,10,10,100
Smythe park data_P02,Smythe park data,2,10,10,100
Smythe park data_P03,Smythe park data,3,10,10,100
Smythe park data_P04,Smythe park data,4,10,10,100
Smythe park data_P05,Smythe park data,5,10,10,100
Smythe park data_P06,Smythe park data,6,10,10,100
Smythe park data_P07,Smythe park data,7,10,10,100
Smythe park data_P08,Smythe park data,8,10,10,100
Smythe park data_P09,Smythe park data,9,10,10,100
Smythe park data_P10,Smythe park data,10,10,10,100
Smythe park data_P11,Smythe park data,11,10,10,100
Smythe park data_P12,Smythe park data,12,10,10,100
Smythe park data_P13,Smythe park data,13,10,10,100
Smythe park data_P14,Smythe park data,14,10,10,100
Smythe park data_P15,Smythe park data,15,10,10,100
Smythe park data_P16,Smythe park data,16,10,10,100
Smythe park data_P17,Smythe park data,17,10,10,100
Smythe park data_P18,Smythe park data,18,10,10,100
Smythe park data_P19,Smythe park data,19,10,10,100
Smythe park data_P20,Smythe park data,20,10,10,100
Smythe park data_P21,Smythe park data,21,10,10,100
Smythe park data_P22,Smythe park data,22,10,10,100
Smythe park data_P23,Smythe park data,23,10,10,100
Smythe park data_P24,Smythe park data,24,10,10,100
Smythe park data_P25,Smythe park data,25,10,10,100
Toronto city hall data_P01,Toronto city hall data,1,1,1,10
Toronto city hall data_P02,Toronto city hall data,2,1,1,10
Toronto city hall data_P03,Toronto city hall data,3,1,1,10
Toronto city hall data_P04,Toronto city hall data,4,1,1,10
Toronto city hall data_P05,Toronto city hall data,5,1,1,10
Toronto city hall data_P06,Toronto city hall data,6,1,1,10
