Model,Params,Mean Acc,Std Acc,Mean Macro-F1
Random Forest,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 1}",0.01248911465892598,0.011900253059705112,0.008296306595806038
Random Forest,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_leaf"": 3}",0.012525399129172715,0.01042142541053785,0.00879426783517288
Random Forest,"{""n_estimators"": 200, ""max_depth"": 15, ""min_samples_leaf"": 1}",0.009521044992743106,0.008691099418472162,0.00695170005160155
Random Forest,"{""n_estimators"": 200, ""max_depth"": 15, ""min_samples_leaf"": 3}",0.009854862119013064,0.009204579875726869,0.006321898986471413
Random Forest,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 1}",0.010616835994194485,0.009150123290165846,0.00711174305582452
Random Forest,"{""n_estimators"": 400, ""max_depth"": null, ""min_samples_leaf"": 3}",0.011756168359941945,0.0103127588309998,0.008693368465995947
Random Forest,"{""n_estimators"": 400, ""max_depth"": 15, ""min_samples_leaf"": 1}",0.006088534107402032,0.0069259212846559505,0.004262009454368781
Random Forest,"{""n_estimators"": 400, ""max_depth"": 15, ""min_samples_leaf"": 3}",0.006451378809869375,0.00530420876820885,0.0038797485421512116
XGBoost,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.05}",0.018294629898403483,0.01572810874165174,0.011668502435880922
XGBoost,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.1}",0.012162554426705368,0.00790340065168209,0.0071818572227832
XGBoost,"{""n_estimators"": 200, ""max_depth"": 6, ""learning_rate"": 0.05}",0.011357039187227866,0.011867762207768869,0.007208226768794196
XGBoost,"{""n_estimators"": 200, ""max_depth"": 6, ""learning_rate"": 0.1}",0.009085631349782294,0.008947800389954989,0.006532284236606338
XGBoost,"{""n_estimators"": 400, ""max_depth"": 3, ""learning_rate"": 0.05}",0.015217706821480409,0.010829211842859827,0.009625598450546054
XGBoost,"{""n_estimators"": 400, ""max_depth"": 3, ""learning_rate"": 0.1}",0.012931785195936138,0.00877600053659881,0.008031638860500043
XGBoost,"{""n_estimators"": 400, ""max_depth"": 6, ""learning_rate"": 0.05}",0.008715529753265602,0.008296010688510465,0.006673860236344305
XGBoost,"{""n_estimators"": 400, ""max_depth"": 6, ""learning_rate"": 0.1}",0.009883889695210448,0.006251493067166342,0.0080037110298392
SVM (RBF),"{""C"": 1, ""gamma"": ""scale""}",0.0019085631349782292,0.0024211939413387464,0.0015655770429883233
SVM (RBF),"{""C"": 1, ""gamma"": ""auto""}",0.0019085631349782292,0.0024211939413387464,0.0015596668775036896
SVM (RBF),"{""C"": 10, ""gamma"": ""scale""}",0.009201741654571844,0.0101368342155369,0.006785375786689196
SVM (RBF),"{""C"": 10, ""gamma"": ""auto""}",0.008447024673439768,0.010369728334576816,0.005932828067639827
SVM (RBF),"{""C"": 50, ""gamma"": ""scale""}",0.022496371552975326,0.008584417968522473,0.01689471959485893
SVM (RBF),"{""C"": 50, ""gamma"": ""auto""}",0.021734397677793903,0.006494737735719242,0.016260752429567673
